Num,Ch,Res
102,0,0.0292655134747
102,2,0.0763141989435
102,1,0.0429159352236
103,0,0.227733810418
103,2,0.0553848804458
103,1,0.180624724863
104,0,0.432859619166
104,2,0.182744928387
104,1,0.111231524514
105,0,0.720183723888
105,2,0.241557844036
105,1,0.157822322604
106,0,0.0
106,2,0.183649884035
106,1,0.12314373573
107,0,0.226834817789
107,2,0.123303539365
107,1,0.0758746340202
108,0,0.0953428647311
108,2,0.0
108,1,0.0628276654142
109,0,0.305651615734
109,2,0.394592285255
109,1,0.687260471154
11,0,0.0868109479464
11,2,2.65128841419
11,1,0.163847995811
110,0,0.138710048167
110,2,0.0497606008428
110,1,0.068302547856
111,0,0.27451759967
111,2,0.488433840022
111,1,0.158137390273
113,0,1.37492235079
113,2,0.157667482166
113,1,0.166910763134
114,0,0.330987383953
114,2,0.112724379722
114,1,0.104919196327
116,0,0.0992075542093
116,2,0.0985722595543
116,1,0.0
117,0,0.0
117,2,0.0737911118197
117,1,0.0
118,0,0.294597686216
118,2,0.16128124713
