Frequency,N8671,N8768,N8774,N8775,N8808,N8826,N8931,N8937,N8979,N8983,N9025,N9027,N9032,N9089,N9132,N9135
168.883880615,0.00921665132046,0.351087808609,0.198848888278,0.284498035908,0.412752747536,0.351074308157,0.200307920575,0.278717666864,0.0548479184508,0.0304542947561,0.0882021933794,0.121116898954,0.392569065094,0.105302855372,0.128856435418,0.391391545534
169.031707764,0.00953507144004,0.363019049168,0.205653503537,0.294210284948,0.426529467106,0.362276732922,0.205656856298,0.287137359381,0.0567250177264,0.0314947552979,0.0891711711884,0.123256742954,0.405798077583,0.107701867819,0.133281305432,0.404216080904
169.17791748,0.00987191684544,0.375641793013,0.212852180004,0.304485142231,0.441106200218,0.374134033918,0.211330607533,0.296054571867,0.0587107613683,0.0325954221189,0.0902332365513,0.125541195273,0.419794350863,0.110301241279,0.137962326407,0.417787075043
169.32258606,0.0102288378403,0.38901796937,0.220480188727,0.315373003483,0.456554591656,0.386704772711,0.217358320951,0.305513769388,0.0608148723841,0.0337616875768,0.0913986265659,0.127983868122,0.434626668692,0.113119788468,0.142922461033,0.432171314955
169.465713501,0.0106076803058,0.403216809034,0.228576987982,0.326930135489,0.472954660654,0.400054425001,0.223772615194,0.31556481123,0.0630482360721,0.0349995866418,0.0926789417863,0.130599945784,0.450371801853,0.116178445518,0.148187324405,0.447443544865
169.607376099,0.0110105127096,0.418315917253,0.237186819315,0.339219778776,0.490396261215,0.414256453514,0.230609968305,0.32626336813,0.0654230490327,0.0363158732653,0.0940872654319,0.133406564593,0.467115819454,0.119500659406,0.153785705566,0.463687479496
169.74760437,0.0114396596327,0.43440258503,0.246359422803,0.352312833071,0.5089802742,0.429393410683,0.237911477685,0.337672173977,0.0679530128837,0.0377181470394,0.0956384018064,0.136422947049,0.484955579042,0.123112648726,0.159749925137,0.480997234583
169.886444092,0.0118977427483,0.451575040817,0.256150811911,0.366289377213,0.528820335865,0.445558309555,0.245723456144,0.349861890078,0.0706535950303,0.0392149686813,0.0973491817713,0.139670848846,0.504000127316,0.127043887973,0.166116386652,0.499478876591
170.023910522,0.012387723662,0.469944387674,0.266624301672,0.381239742041,0.550044953823,0.46285623312,0.254098206758,0.362912356853,0.0735422372818,0.0408160202205,0.0992387160659,0.143174827099,0.524372756481,0.131327584386,0.172926262021,0.519252300262
170.160049438,0.0129129579291,0.48963662982,0.27785167098,0.397266447544,0.572799921036,0.481406331062,0.263095021248,0.37691411376,0.0766387358308,0.042532261461,0.101328775287,0.146962791681,0.54621309042,0.13600127399,0.180226236582,0.540453374386
